Country or Area,Year,Quantity
Canada,1992,2
Canada,1993,3
Canada,1994,3
Canada,1995,4
Canada,1996,6
Canada,1997,7
Canada,1998,10
Canada,1999,13
Canada,2000,16
Canada,2001,19
Canada,2002,22
Canada,2003,23
Canada,2004,13
Canada,2005,17
Canada,2006,21
Canada,2007,26
Canada,2008,35
Canada,2009,109
Canada,2010,255
Canada,2011,572
Canada,2012,881
Canada,2013,1499
Canada,2014,2120
Canada,2015,2895
Canada,2016,4030
Canada,2017,3573
Canada,2018,3796
Canada,2019,"4,079.00"
China,2013,5564
China,2014,25134
China,2015,38776
China,2016,61586
China,2017,106338
China,2018,177517
China,2019,"224,460.00"
Germany,1991,1
Germany,1992,4
Germany,1993,3
Germany,1994,7
Germany,1995,7
Germany,1996,12
Germany,1997,18
Germany,1998,35
Germany,1999,30
Germany,2000,60
Germany,2001,116
Germany,2002,188
Germany,2003,313
Germany,2004,557
Germany,2005,1282
Germany,2006,2220
Germany,2007,3075
Germany,2008,4420
Germany,2009,6584
Germany,2010,11729
Germany,2011,19599
Germany,2012,26380
Germany,2013,31010
Germany,2014,36056
Germany,2015,38726
Germany,2016,38098
Germany,2017,39401
Germany,2018,45784
Germany,2019,"46,392.00"
India,2013,3433
India,2014,5020
India,2015,7039
India,2016,12578
India,2017,24613
India,2018,39728
India,2019,"50,563.00"
Japan,1990,67
Japan,1991,74
Japan,1992,81
Japan,1993,89
Japan,1994,96
Japan,1995,106
Japan,1996,122
Japan,1997,149
Japan,1998,189
Japan,1999,254
Japan,2000,357
Japan,2001,547
Japan,2002,644
Japan,2003,858
Japan,2004,1118
Japan,2005,1420
Japan,2006,1721
Japan,2007,1972
Japan,2008,2206
Japan,2009,2657
Japan,2010,3543
Japan,2011,4839
Japan,2012,6613
Japan,2013,12880
Japan,2014,22952
Japan,2015,34802
Japan,2016,45761
Japan,2017,55068.529
Japan,2018,62667.671
Japan,2019,"68,952.57"
Malaysia,2010,0.681
Malaysia,2011,0.681
Malaysia,2012,47.743
Malaysia,2013,141
Malaysia,2014,227
Malaysia,2015,273
Malaysia,2016,310
Malaysia,2017,330.12
Malaysia,2018,632
Malaysia,2019,943.49
Singapore,2008,1
Singapore,2009,3
Singapore,2010,5
Singapore,2011,8
Singapore,2012,13
Singapore,2013,17
Singapore,2014,38
Singapore,2015,69
Singapore,2016,146
Singapore,2017,175
Singapore,2018,237
Singapore,2019,410.00
Singapore,2020,622
United Arab Emirates,2012,19
United Arab Emirates,2013,53
United Arab Emirates,2014,291
United Arab Emirates,2015,291
United Arab Emirates,2016,309
United Arab Emirates,2017,792
United Arab Emirates,2018,1303.1
United Arab Emirates,2019,"3,779.80"
United Kingdom,1999,1
United Kingdom,2000,1
United Kingdom,2001,2
United Kingdom,2002,3
United Kingdom,2003,3
United Kingdom,2004,4
United Kingdom,2005,8
United Kingdom,2006,11
United Kingdom,2007,14
United Kingdom,2008,17
United Kingdom,2009,20
United Kingdom,2010,40
United Kingdom,2011,244
United Kingdom,2012,1354
United Kingdom,2013,2010
United Kingdom,2014,4054
United Kingdom,2015,7533
United Kingdom,2016,10395
United Kingdom,2017,11457.269
United Kingdom,2018,12735.51
United Kingdom,2019,"12,918.07"
United States,1990,666
United States,1991,782
United States,1992,749
United States,1993,901
United States,1994,828
United States,1995,828
United States,1996,906
United States,1997,897
United States,1998,890
United States,1999,689
United States,2000,709
United States,2001,785
United States,2002,830
United States,2003,848
United States,2004,965
United States,2005,1120
United States,2006,1287
United States,2007,1674
United States,2008,2092
United States,2009,2515
United States,2010,3942
United States,2011,6215
United States,2012,10145
United States,2013,15872
United States,2014,25764
United States,2015,35635
United States,2016,50334
United States,2017,70979.619
United States,2018,85184.441
United States,2019,"97,478.32"
